S/N,Interview Unique Indentifier (IUI),Timestamp,User's thoughts or feeling,Designer's guess,Rater 1,Rater 2,Rater 3,Empathic Accuracy (EA),User's Emotional Tone,Designer's Guess of User's Emotional Tone,Emotional Tone Accuracy (ETA),,,,,,,,,,,,,,,,,,,,
138,15,4:45,I was thinking I do not like driving but I like to do it to see my friends or go on holiday,"He was thinking, if he does not like driving, why should he choose a favorite driving purpose?",1,1,1,1.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
139,15,5:50,"I was feeling like when driving to an intersection, in a city center I can be a little stressed if there is a lot of dangers to look out around me",He was imaging the situation in a city center and feels he does not have much experience of driving in the city center because he usually drive in the countryside,1,1,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
140,15,8:00,I was I look concerned about the pedestrians crossing unexpectedly,He was thinking about his previous driving experience of almost hitting pedestrains,1,0,0,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
141,15,11:40,"I was not stressed about this because I am used to  this kind of intersection where we can't see well, so slowing down is the safest way. I also now think that another risk of this camera would be that it would encourage drivers to not slow down to see what comes at the intersection, because they would expect the camera to warn them in case of danger.",He was thinking it is not a very common situation in his experience,0,0,1,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
142,15,14:00,"I was thinking the main problem with animals is in wild areas, in cities not so much problem because animals are often on a leach",He was thinking the interviewer is not familiar with  the place he used to drive.,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
143,15,16:10,I was thinking positive use of radar for parking to avoid breaking the car,He was thinking he does not trust companies can protect his privacy carefully and may be he recalled some memories of how company take use of individuals' privater information in films,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
144,15,17:30,I was thinking that a system to monitor parking spots would be very resource consuming and not ecological. I also thought that this kind of system is dangerous for democracy because the technology used can easily be diverted for surveillance purposes. ,He was thinking this is not realistic idea of telling driver where is a empty parking spot since the information will not be updated so frequently,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
145,15,19:30,I was thinking that I only need GPS for far away car trips or to go to areas that I don't know. Usually I try to keep my orientation sense because I think it's important to be able to direct myself without needing a GPS.,He was thinking map or navigator is different thing,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
146,15,24:01,I was worried about the use that the state or companies could do with these videos,"He was worried about new technology will spy on people and think how to protect his privacy if technology and cameras are ""catching"" people in intersection",2,2,2,2.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
147,16,2:41,I was nervous and I didn't know how to express.,She was feeling nervous with her English and debating if she could complete the interview or not,1,1,2,1.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
148,16,5:10,I was thinking of how to answer this question.,She was thinking how to respond to this question and how to put the answer in English,2,1,2,1.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
149,16,5:46,I was happy that I answered this question finally.,She was feeling happy that she finally responded to this question in a proper way and found suitable vocabulary to say it,2,2,2,2.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
150,16,8:58,I was thinking of how to express.,She was hoping the interviewer will not catch her and keep asking this question since she does not know how to explain it into more details,0,1,1,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
151,16,9:40,I was thinking of the question. ,"She was thinking about the indicator and probably does not understand the scenario, also feeling a bit nervous",0,0,1,0.333,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
152,16,10:40,I was thinking of how to express.,She was thinking of the scenario and recalling her memory in a such situation,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
153,16,15:20,"I was thinking that the national conditions for driving are different. Maybe in the city, people really need to pay more attention to animals on the road.  ",She was thinking that she did not have such experience of animals on the road,1,2,1,1.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
154,16,16:03,I was trying to confirm the question.,"She was thinking what kind of tall buildings and feeling the description of scenario ends so fast, she wants more details",0,0,1,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
155,16,16:40,I was thinking how to express.,She was thinking it is so hard to respond to this question in English and meanwhile she recalled a similar experience in her hometown,1,1,1,1.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
156,16,18:03,I was a little bit embarrassed because I don't know if I express my thoughts correctly.,She was feeling embarrassed about her English and forgot the word she would like to say,2,1,2,1.667,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
157,17,1:33,I was thinking of date or month? i think i forgot the date when i moved here,She was thinking of when she moved to the city,1,0,1,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
158,17,1:44,I was thinking of the time of my fresh year which is also the same year when I took my driving lience ,She was thinking of course she has a driving license since this is a compulsory requirement of participants in this interview,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
159,17,2:44,I was thinking if I should explain too details?,She was thinking about her previous experience of taking public transportation and how to plan the route,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
160,17,4:25,"I was thinking I said I don't want to take driving course, would it be a good way to say it?",She was thinking that she disagree with her parents and feeling exhausted of re-taking driving class in the city,1,1,0,0.667,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
161,17,7:15,I was thinking no mountain drive any more,She was thinking the experience of driving with her friends for holidays and there were some unexpected situation that happend,0,0,0,0.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
162,17,8:53,I was thinking I do want an auto drive car which provide freedom and safety at the same time. Why the level of driving skill is always the thing limiting people to drive under different situation,She was thinking how she talked to her friend about automatic driving car and feeling this is so useful for her,1,2,0,1.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
163,17,14:56,"I was thinking if weather is too terrible, just don't drive",She was thinking that she did not have such experience and hoping her experience is still useful for the interview,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
164,17,16:21,"I was thinking, is it a place I was familiar with? is the high building where i will go?",She was feeling confused about the question and did not understand how she gonna approach the road in that scenario,1,1,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
165,17,19:40,I was thinking I would like to know in what extent of crowed does it shows,She was thinking the cons of current naviation and digital map and feeling they are not helpful,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
166,17,27:43,I was thinking customer experience is a researching job I would like to do,"She was thinking if the interviewer is not developing the device, why is she participant in the research",0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
167,18,2:46,I was feeling happy as the memory came back of my road trip in the city,"He was thinking this interviewer just keep catching me on this question, and felt lucky that he has driven in the city so he will not react like he knows nothing when talking about driving in the city",0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
168,18,5:35,"I was feeling confused with formulating my own definition, struggling to get it right",He was thinking the definition of driving from his perspective and it is a personal bubble for him,1,0,1,0.667,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
169,18,6:45,"I was thinking deeply, trying to visualise the situation",He was thinking this scenario sounds like in city one but he felt he needed to move the conversation more related to city two.,1,1,0,0.667,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
170,18,8:49,I was thinking of different intersections and what the issues are,He was feeling he came up with a good opinion especially it is related to his own expertise as a designer,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
171,18,11:23,I was thinking of different relevant signals in this situation,He was thinking the description of the second scenario ends so fast,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
172,18,12:20,I was feeling a bit lost as to which elements would be relevant,He was recalling his memory in a similar situation and thinking what can be added to this answer,1,2,1,1.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
173,18,21:08,I was thinking about more alternative solutions and struggling to do so,He was feeling the device sounds like a navigator but slightly different from it,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
174,18,22:45,I was feeling happy remembering this memory with my family,He was recalling his memory of his experience of driving in snow and the height of snow covered on the road keeps increasing. He has a mix feeling of that experience. ,0,0,1,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
175,18,24:18,I was feeling relaxed about the conversational style of this interview,He was thinking price matters and will influence whether to buy the device or not,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
176,18,25:20,I was feeling inspired with my very elegant product suggestion,He was thinking the remind from device sometimes is annoying,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
177,19,3:07,I was thinking about my main purpose of driving and feeling that I appriciate the practical aspects of driving.,She was thinking there were a lot of fight when she used her family car,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
178,19,5:21,I was thinking about the driving experience in the city and how different it seems to the experience in Turkey.,She was feeling a little pity that she did not drive in the city and really want to drive here since she miss the feeling of driving,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
179,19,8:40,I was remembering how pedestrians always jump on the road back in city and it made me reconnect with the stress I and chaos side of driving. ,She was thinking of the real situation of driving in city and people don't follow traffic rules,1,2,1,1.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
180,19,18:20,I was feeling that navigation is a really important part of the driving experience for me. I feel safe with some help from technology in the situations where i get confused.,"She was feeling without a navigator, it is difficult for her to plan route and she will not go without a navigator",2,2,1,1.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
181,19,22:00,"I was feeling very excited about the idea of knowing about upcoming constructions, blocked roads or accidents ",She was feeling this is a good point and also reminds her about the places with constructions all the time in her hometown,1,1,0,0.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
182,19,24:45,I was thinking that I would like to know about available parking spots coming ahead through a device screen. Any audio instructions available to help guide me to parking spots while i have to keep my eyes on the road is very helpful.,She was feeling confident about her knowledge of driving,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
183,19,27:30,"I was thinking that asking for directions gives me the same feeling of safety as using the navigation or even better, because the instructions coming in always show surrounding elements in the environment as reference. (for example somebody coud say ""Turn after that red bench.""The same feeling comes to mind when I think of receiving directions through a device that displays the real world camera view and then arrows on top of it, like in augmented reality navigation. The idea of asking somone who knows the way, or using technology to create the feeling of reassurance makes the driving experience more peaceful. ",She was thinking of how to visualize reality by technology and it is useful for her,1,2,1,1.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
184,20,2:44,I was thinking it is nice to see that in 20 years all this is forgetten ,She was recalling her memory of learning driving from her dad and have a mixed feeling of it,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
185,20,2:58,"I was thinking i never got used to having to say no to this question, after living in city. There having a car made all the difference in quality of life. Didn't have a car. Luckily had good friends. ",She was thinking about she does not have a car now and is that necessasry to have a car?,1,0,1,0.667,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
186,20,3:18,I was thinking it always annoys me that i don't make the effort to keep up the driving skill,"She was thinking wow, she did not drive a lot for a long time now, and hopefully she is still useful for this interview",0,0,1,0.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
187,20,5:30,"I was thinking ""what family"" one of the main reasons why I don't need a car is that I don't have kids. Pivoting thinking to easter when travellign with my parents. ",She was unsure of the word in charge of it since that was her parent's car,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
188,20,6:55,"I was thinking probably comfortable enough, not necessarily all comfortable",She was hoping she explained this answer clearly and thinking why she lived in a place with such complicated traffic rules,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
189,20,8:49,"I was comforting but not always actionable or practical, but i'm aware of my good support networks. ",She was feeling having a sister who has a car and also live nearby is a good thing for her.,0,0,1,0.333,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
190,20,9:15,I was feeling uncomfortable. Driving in the city centre is always harder. ,She was imaging the intersection,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
191,20,13:39,I was thinking losing senses is the worst and freaks me out,She was comparing the difference of necessary information between the first scenario and the second one and feeling more in control of the first one,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
192,20,16:35,"I was thinking that these things do freak me out turning and not knowing where you ""end up"", how many lanes will there be, how quickly do I have to choose which lane to pick etc",She was feeling confused about this scenario and want more details of it,1,0,0,0.333,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
193,20,20:15,I was this does not come up with me because i don't have my own car. The ones i use are located in places with own parking. ,She was thinking this one is the same question as the previous one and she absoutely need help of parking ,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
194,21,2:45,"I was thinking if i drive enough to participate in this survey, I was not confident about my skills ",She was thinking the time she drive last time ,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
195,21,3:20,I was happy to remember that I have actually driven a lot,She was thinking her previous job as a journalist and she drive a lot at that time,1,2,2,1.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
196,21,4:44,I was wondering if my answer is good and understandable,She was thinking that the public transportation there is not very convenient so everyone drives,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
197,21,5:47,I was unsure what I´m going to choose,She was feeling it is hard to choose a favourite driving purpose,2,1,2,1.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
198,21,6:05,I was relieved that i found an answer,"She was thinking about her experience of getting a driving license in the first year, and it was a good experience",0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
199,21,6:31,I was still thinking about the last question and worried that I´m not understanding this question,She was focusing on how she looked like in the interview and there was a light on her face,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
200,21,7:06,I was happy that the interviewer was laughing at my answer,"She was thinking why the interviewer was smiling, and maybe that refers to how she has described driving as scary for her",1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
201,21,7:25,I was happy about the joke,"She was thinking it was about the ""scary"" and hopefully the following scenarios are not that scary",0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
202,21,15:50,I was happy that interviewer mentioned animals!,"She was thinking animals are also very important but meanwhile feel it maybe not a good anwers, but when the interviewer ask about animals, she felt she should say it",1,1,1,1.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
203,21,16:41,I was surprised and remembered suddenly so many things about animals,She was thinking deer and moose is a big problem and she does not know what to do with that,1,1,0,0.667,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
204,22,2:00,"I was told a truth, but it was a little special and funny. ",He was thinking about his bachelor life and there was a special time with a lot of freedoms and funs,1,0,0,0.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
205,22,2:38,I was thinking I don’t like drving and tried to find out the reason,He was thinking that luckily he has experience of driving in a foreign country but he was unsure if it is useful for this interview,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
206,22,4:09,I was thinking of  the disadvantage of driving and the reason why I don’t like driving,He was thinking about driving for holidays in a place and it was a good experience,0,0,0,0.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
207,22,6:30,I was thinking of  the most awful driving experience ,He was remembering another idea of his feeling of driving and he felt this could be a useful information ,1,0,0,0.333,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
208,22,12:15,I was thinking of some good memory in a country,He was thinking of his experience in a country,1,2,2,1.667,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
209,22,14:10,"I was having a very paradoxical feeling, many vehicles really like me feel nervous, but slow can help me feel better","He was thinking, ""Do I sound weird if I say I like traffic jams?""",0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
210,22,18:30,I was realizing my loophole for the previous answer ,He was thinking every technology has its own bugs and even human beings will make mistakes as well,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
211,22,20:59,"I was thinking I didn’t know what device talk about, give some information or driveless technology",He was feeling unsure and confused of this question,1,2,1,1.333,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
212,22,25:15,I was providing an original opinion ,He was thinking nobody will spy his privacy since he is not a essential guy in  the country,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
213,22,28:18,I was realizing it's the assignment which I took before.,He was thinking this was the experiment I did before in my class and luckily my video will not be shown in the public,1,1,1,1.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
214,23,6:12,"I was so suprised how important driving in my current life, even I was laid off currently, I almost use my car everyday.","She was thinking she has a lot of responsibilities and if she does not have children, she may use car to do more private things or for her interests",1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
215,23,7:41,I was thinking that it was easier to make action than explain how we will do when facing different traffic situation,"She was debating which direction she should go and trying to recall her memory of going straight. Meanwhile, she felt it would be better if the scenario could give more details of direction so it will be easier for her to answer. ",1,2,0,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
216,23,10:33,"I was somehow confused about the question, I thought I will be provided more information about tram",She was feeling confused about the question ,2,2,2,2.000,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
217,23,12:54,"I was thinking it was a really good questions and must make more people pay attention to it, and it reminded me of our residential area, there is one car driving crazily now and then, which is absolutely mad and so dangerous for all, especially for little kids",She was feeling happy that she got the point of residential area,0,1,0,0.333,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
218,23,18:06,"I was feeling I didn’t exactly do as I told in the interview, sometimes I just took for granted that that kind of accident will never happen to me, but when expressed vocally, it reminds me how important to all the time follow the traffic rules",She was feeling this information is very important and she was repeating her answer,1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
219,23,21:24,"I was excited about this idea, I first thought it might be some kind of artificial intelligence that could replace human drving","She was thinking she did not have an experience like that, and it is hard for her to imagine the situation, and she hope her answer is still useful",0,1,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
220,23,27:39,"I was forgetting to tell, that i hope this device could be some combination of navigator, dangerous waring, monitoring camera, speed monitor etc. ",She was thinking this is hard to answer and she already provided almost everthing in her mind and thinking how to produce more,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
221,24,2:13,I was thinking I have a country's driver's license but have no driving experience in the country.,he was thinking the time when he get a country driving license (the calculation stuff),1,1,1,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
222,24,4:50,"I was thinking in 2018, I drive my car to have parties with my friends around 5 times per week, what crazy. For a party, my friend needs a driver who does not drink alcohol so they can drink as I can drive them home. That is one why I was so busy with parties. I can get my PhD done earlier if I could spend more time working. ",He was feeling it is hard to explain in English and not sure if the interviewer is understanding him or not,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
223,24,6:15,I was thinking having a car really makes my life easier and more colorful.,"He was thinking about what else he uses the car to do something, and car is much easier than public transportation for him",1,1,0,0.667,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
224,24,12:09,I was thinking many people with an international driver’s license drive in city but don’t know the  traffic rules.,He does not think tram is a problem since he just follows the traffic rule.,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
225,24,12:28,I was thinking you can stop your car if the driving condition is bad. ,"He was thinking of the situation and recalled his memory that related to this situation, and he may not have many experiences related to this situation",0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
226,24,14:10,"I was thinking driving in bad weather condition is really dangerous. If you have to go, the first thing you need to know is the pedestrains near you.  ",He was not fully understanding this question and want to make sure what is the question,0,0,0,0.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
227,24,16:42,"I was thinking for the intersection part, slow down and even stop your car, observe the traffic conditions (cars, signs), make the decision to follow the traffic rules. ",He was thinking tall building blocking his view what he will do and he was aware of people and other road users,1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
228,24,22:42,I was thinking that being prepared for any unexpected is good. ,He was not sure if the device will be helpful in that situation and if he has a need according to that since he has no such experience,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
229,24,23:57,I was thinking the device is to support drivers. So do not make it too complicated. Avoid asking drivers to set too many parameters. Also do not disturb drivers. So to many fake warnings should be avoided.   ,"He was thinking audio is enough and he has enough experience to handle different driving situation, he could judge by himself",0,1,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
230,24,27:29,I was thinking autonomous vehicle is a big challenge for your device. Is it really a need to have a device to support driver? ,He was thinking inserting a camera in the street may cause some license problems and not realistic.,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
231,25,4:00,"I was recalling  the time I have to wake up at 5am to send some of my relatives to airports or train stations, it was supper tired!",She was thinking the experience of sending her friends and relatives from the airport when they visit the city,2,1,1,1.333,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
232,25,7:14,"I was thinking if I should use the word ""handsome""? At least my friends told me that I was handsome when I am driving ;)","She was thinking that she  really likes driving and feeling confidence when she drives, and she likes how her friends describe how she drive",1,1,0,0.667,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
233,25,8:20,I was missing the time when I was listening to my favorite song and chating with my best friend on our journey.,She was thinking how to say this in English and feeling it is hard to explain,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
234,25,8:50,I was thinking traffic jam is coming,She was feeling happy that she finish the task of giving a definition of driving and thinking about driving in an intersection in  city centre,0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
235,25,17:20,I was thinking why I can't see the intersection because of the tall buildings? What do the roads look like? Hard to image…,"she was thinking of the situation when she was driving and thinking of a town, also, a bit happy this is the last scenario",1,0,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
236,25,19:11,I was thinking I have no choice to change my route… ,"She was thinking she has not been in a situation because of tall buildings, but she has experience of  traffic jams for other reasons and she cannot do anything with that",0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
237,25,23:40,I was thinking I want a car with a funny robot to talk with me!,She was thinking she need a really smart device that can take action based on her spoken command and also feel curious of the device.,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
238,25,28:50,"I was thinking The weather outside is great, I can feel the fresh air after the heavy rain.",She was thinking how to say it in English and finding it hard to find a suitable word,0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
239,25,30:15,I was thinking Siri was not smart at all! It even can't tell a joke to me,"she was thinking yes, could be like a smarter Siri, which is a good example, and something like that can communicate with driver",0,1,2,1.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
240,25,34:20,"I was finding the balance between the personal driving experience and AI assistance maybe more important, driving is a event that people can enjoy the feeling than operating a big machine, that's a coolest thing.",she was thinking about how to explain it clearly in English and feeling a bit happy that she finally came up with a word,0,0,0,0.000,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
241,26,3:13,I was thinking that every driver will drive to go shopping or go to work ,"He was thinking he doesn't know how to say it in English and hopefully, he can explain it clearly and feeling a bit nervous",0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
242,26,3:24,I was thinking that driving to travel might be a good purpose,"He was thinking luckily the interviewer provide some options and another more difficult question comes here. For him, there is no favourite purpose, they are the same",1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
243,26,6:25,I was thnking this is a very common thing and does not require additional information ,He was feeling confused about the scenario and wondering what is the interviewer's question,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
244,26,7:15,"I was thinking that in my experience, I pay attention to whether anyone runs the red light, but I don’t know how to express it in English. ",He was concentrating on the interviewer's explanation and don't know how to put the answer in English,1,1,1,1.000,-,0,FALSE,,,,,,,,,,,,,,,,,,,,
245,26,9:40,I was thinking about what to do if it rains heavily ,He was feeling he doesn't know how to say it in English and in native is much easier,0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
246,26,13:35,I was  confirming that I understand the question correctly,He was feeling very confused about this question and don't understand why this is a problem,2,0,0,0.667,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
247,26,14:46,"I was thinking that I understand this question is to ask me if I will pay attention to the behavior of the car next to me while driving, but I think this example does not seem appropriate ","He was thinking he does not understand this question even if it is in his native, this is not a problem for him at all",0,0,0,0.000,0,-,FALSE,,,,,,,,,,,,,,,,,,,,
248,26,16:35,I was thinking of smart driving or auto-driving,"He was thinking what is a device and want to check in google translation, and glad the interivewer explain it in his native now",0,0,0,0.000,+,-,FALSE,,,,,,,,,,,,,,,,,,,,
249,26,21:11,I was thinking of the state of the art reversing radar,"He was thinking finding a parking spot is so useful for him, this is exactly what he wants",0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
250,26,24:50,I was thinking this product should devote more attention to finding parking position ,He was thinking it is much easier to understand in his native and i can provide more suggestion of the device in my mother tone,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
251,27,2:16,I was thinking the public transportation is very good in the city,He was thinking the purpose of using a car in the city and he has a family so he is not able to take children by public transportations. This is not convinent for people who has family and the interviewer probably has no children. ,0,0,1,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
252,27,3:26,"I was thinking the experience of driving in a beautiful nature of the city, and that is my best experience ",He was thinking which one is his favourite driving purpose,1,0,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
253,27,7:28,"I was thinking when you say animals, I was thinking of pets, such as dogs, not moose or other wild animals",He was thinking the situation how people take care of their pets in the street and it is not a problem for driver,1,0,1,0.667,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
254,27,10:36,I was thinking that was a good lesseon but not good experience ,"He was thinking of his experience of driving in the snow, and it was a very dangerous and nervous experience, this may be helpful for the interviewer",1,1,0,0.667,-,-,TRUE,,,,,,,,,,,,,,,,,,,,
255,27,12:12,I was thinking I pay more attention of safe driving in winter time after that experience,He was feeling he does not know how to put this into English and speaking in his native is much easier,0,0,0,0.000,0,+,FALSE,,,,,,,,,,,,,,,,,,,,
256,27,13:54,I was thinking there are not many tall buildings,"He was thinking he does not have so much experience of tall buildings in the city, it is a bit rare",2,1,1,1.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
257,27,16:57,"I was thinking I can accept the price of device is below 200€, and 100€ will be a good price for me. If it is a App, 5€ per month is suitable for me, but if it is 3€ per month, I will also purchase for my wife","He was thinking he will not buy a very expensive one and it is hard to say how much if he does not know what the device is, maybe 100€ - 200€ is a reasonable price for him",1,2,0,1.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
258,27,21:10,I was thinking it will be great if the device can translate the traffic sign from a language to another,"He was thinking it is not often to see wild animals in the city but it is common in other places, they may need it",0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
259,27,24:15,"I was thinking electrical car is the future, and most of them have AI system. Especially those country's  electrical car companies. Try to work with them to develop your app. ","He was thinking it is hard to explain in English but he tried to explain and hopefully it is clear enough, and if it comes with an App or be a part of an App it will be much better",0,1,0,0.333,+,0,FALSE,,,,,,,,,,,,,,,,,,,,
260,28,4:03,I was thinking why my answers are so funny.,He was thinking how to explain why he feels happy when driving for shopping,0,0,0,0.000,+,+,TRUE,,,,,,,,,,,,,,,,,,,,
261,28,4:39,"I was little drama queen (give me some time, let me think how to explain. Hmmm Yeah, this is absolutely driving experience)","He was feeling confused about the question, and it is hard to say where the happy experience comes from",0,0,0,0.000,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
262,28,5:09,I was shy. Let me think about how to express my thinking in English.,"He was thinking, why adjust the camera and feel a bit shy at that moment",0,1,0,0.333,0,0,TRUE,,,,,,,,,,,,,,,,,,,,
263,28,9:58,I was thinking that my spoken english is really bad. Sad.,He was feeling a bit embrassing of his English and try to understand the question and a bit happy and finally comes up with a word to describe driving. ,1,1,1,1.000,-,+,FALSE,,,,,,,,,,,,,,,,,,,,
